UTC,latitude,longitude,Quality_Indi,Satellites_Used,HDOP,QZSS,GPS_L5
123637.80,35.53910633,139.68968367,1,09,1.31,5,13
123638.00,35.53911067,139.68969067,1,09,1.31,5,13
123638.20,35.539114,139.68969767,1,09,1.31,5,13
123638.40,35.53911783,139.689704,1,09,1.31,5,13
123638.60,35.53912167,139.68971167,1,09,1.31,5,13
123638.80,35.53912533,139.6897185,1,09,1.31,5,13
123639.00,35.5391295,139.68972633,1,09,1.31,5,13
123639.20,35.539134,139.68973283,1,09,1.31,5,13
123639.40,35.53913733,139.689739,1,09,1.31,5,13
123639.60,35.53914067,139.68974517,1,09,1.31,5,13
123639.80,35.53914433,139.68975167,1,09,1.31,5,13
123640.00,35.53914783,139.68975767,1,09,1.31,5,13
123640.20,35.53915117,139.68976417,1,09,1.31,5,13
123640.40,35.53915333,139.6897695,1,09,1.31,5,13
123640.60,35.53915533,139.68977417,1,09,1.31,5,13
123640.80,35.5391585,139.68977983,1,09,1.31,5,13
123641.00,35.53916117,139.68978567,1,09,1.31,5,13
123641.20,35.539165,139.68979267,1,09,1.31,5,13
123641.40,35.53916817,139.68979933,1,09,1.31,5,13
123641.60,35.53917133,139.6898065,1,09,1.31,5,13
123641.80,35.53917433,139.68981267,1,09,1.31,5,13
123642.00,35.53917833,139.6898205,1,09,1.31,5,13
123642.20,35.53918183,139.68982733,1,09,1.31,5,13
123642.40,35.53918567,139.68983367,1,09,1.31,5,13
123642.60,35.53919033,139.68984067,1,09,1.31,5,13
123642.80,35.53919333,139.68984617,1,09,1.31,5,13
123643.00,35.53919683,139.68985083,1,09,1.31,5,13
123643.20,35.53919983,139.68985733,1,09,1.31,5,13
123643.40,35.539203,139.68986267,1,09,1.31,5,13
123643.60,35.53920667,139.68986683,1,09,1.31,5,13
123643.80,35.53921033,139.68987117,1,09,1.31,5,13
123644.00,35.53921267,139.6898755,1,09,1.31,5,13
123644.20,35.53921567,139.68988233,1,09,1.31,5,13
123644.40,35.5392185,139.68988733,1,09,1.31,5,13
123644.60,35.539222,139.68989383,1,09,1.31,5,13
123644.80,35.53922483,139.68990033,1,09,1.31,5,13
123645.00,35.539228,139.689907,1,09,1.31,5,13
123645.20,35.53923117,139.68991367,1,09,1.31,5,13
123645.40,35.53923383,139.68991933,1,09,1.31,5,13
123645.60,35.5392375,139.68992633,1,09,1.31,5,13
123645.80,35.539241,139.689933,1,09,1.31,5,13
123646.00,35.539244,139.68993717,1,09,1.31,5,13
123646.20,35.53924767,139.68994267,1,09,1.31,5,13
123646.40,35.5392505,139.6899495,1,09,1.31,5,13
123646.60,35.53925417,139.68995583,1,09,1.31,5,13
123646.80,35.53925783,139.68996183,1,09,1.31,5,13
123647.00,35.53926083,139.68996817,1,09,1.31,5,13
123647.20,35.53926433,139.68997433,1,09,1.31,5,13
123647.40,35.53926683,139.68998017,1,09,1.31,5,13
123647.60,35.5392705,139.689987,1,09,1.31,5,13
123647.80,35.53927467,139.6899935,1,09,1.31,5,13
123648.00,35.53927733,139.68999733,1,09,1.31,5,13
123648.20,35.53927983,139.690002,1,09,1.31,5,13
123648.40,35.53928267,139.690009,1,09,1.31,5,13
123648.60,35.53928567,139.69001583,1,09,1.31,5,13
123648.80,35.539286,139.69002067,1,09,1.31,5,13
123649.00,35.539287,139.69002317,1,09,1.31,5,13
123649.20,35.53928783,139.6900255,1,09,1.31,5,13
123649.40,35.5392915,139.69003133,1,09,1.31,5,13
123649.60,35.53929217,139.69003483,1,09,1.31,5,13
123649.80,35.53929717,139.69004017,1,09,1.31,5,13
123650.00,35.5393005,139.6900455,1,09,1.31,5,13
123650.20,35.5393035,139.690051,1,09,1.31,5,13
123650.40,35.53930717,139.69005833,1,09,1.31,5,13
123650.60,35.53930983,139.69006433,1,09,1.31,5,13
123650.80,35.53931267,139.69007067,1,09,1.31,5,13
123651.00,35.53931567,139.69007717,1,09,1.31,5,13
123651.20,35.53931883,139.69008183,1,09,1.31,5,13
123651.40,35.53932133,139.69008633,1,09,1.31,5,13
123651.60,35.53932383,139.690091,1,09,1.31,5,13
123651.80,35.53932667,139.6900955,1,09,1.31,5,13
123652.00,35.5393305,139.69010117,1,09,1.31,5,13
123652.20,35.53933367,139.69010733,1,09,1.31,5,13
123652.40,35.53933683,139.6901135,1,09,1.31,5,13
123652.60,35.53934067,139.69011967,1,09,1.31,5,13
123652.80,35.53934383,139.69012483,1,09,1.31,5,13
123653.00,35.5393465,139.6901305,1,09,1.31,5,13
123653.20,35.53934983,139.69013583,1,09,1.31,5,13
123653.40,35.53935367,139.69014283,1,09,1.31,5,12
123653.60,35.539357,139.69015083,1,09,1.31,5,12
123653.80,35.53935983,139.69015683,1,09,1.31,5,12
123654.00,35.5393635,139.69016317,1,09,1.31,5,12
123654.20,35.53936633,139.69016983,1,09,1.31,5,13
123654.40,35.53936967,139.69017617,1,09,1.31,5,13
123654.60,35.539373,139.69018233,1,09,1.31,5,13
123654.80,35.53937617,139.69018833,1,09,1.31,5,13
123655.00,35.53937883,139.690194,1,09,1.31,5,13
123655.20,35.539382,139.690199,1,09,1.31,5,13
123655.40,35.53938483,139.6902035,1,09,1.31,5,13
123655.60,35.53938817,139.69020783,1,09,1.31,5,13
123655.80,35.53939067,139.69021183,1,09,1.31,5,13
123656.00,35.53939317,139.69021767,1,09,1.31,5,13
123656.20,35.53939533,139.69022417,1,09,1.31,5,13
123656.40,35.53939767,139.69022883,1,09,1.31,5,13
123656.60,35.5393995,139.6902345,1,09,1.31,5,13
123656.80,35.53940183,139.69024083,1,09,1.31,5,13
123657.00,35.5394035,139.69024633,1,09,1.31,5,13
123657.20,35.53940533,139.69025067,1,09,1.31,5,13
123657.40,35.539408,139.69025383,1,09,1.31,5,13
123657.60,35.53941033,139.69025867,1,09,1.31,5,13
123657.80,35.5394135,139.69026167,1,09,1.31,5,13
123658.00,35.53941583,139.6902625,1,09,1.31,5,13
123658.20,35.53941983,139.6902645,1,09,1.31,5,13
123658.40,35.539424,139.69026533,1,09,1.31,5,13
123658.60,35.53942783,139.69026567,1,09,1.31,5,13
123658.80,35.53943183,139.690264,1,09,1.31,5,13
123659.00,35.53943633,139.69026183,1,09,1.31,5,13
123659.20,35.53944,139.6902595,1,09,1.31,5,13
123659.40,35.539444,139.69025717,1,09,1.31,5,13
123659.60,35.53944867,139.69025567,1,09,1.31,5,13
123659.80,35.53945283,139.69025217,1,09,1.31,5,13
123700.00,35.539458,139.6902495,1,09,1.31,5,13
123700.20,35.53946283,139.6902465,1,09,1.31,5,13
123700.40,35.53946733,139.6902435,1,09,1.31,5,13
123700.60,35.53947167,139.690239,1,09,1.31,5,13
123700.80,35.53947617,139.69023467,1,09,1.31,5,12
123701.00,35.53948067,139.690231,1,09,1.31,5,12
123701.20,35.53948583,139.69022867,1,09,1.31,5,12
123701.40,35.53949067,139.69022567,1,09,1.31,5,12
123701.60,35.53949567,139.69022133,1,09,1.31,5,12
123701.80,35.53950017,139.690217,1,09,1.31,5,12
123702.00,35.53950433,139.6902115,1,09,1.31,5,12
123702.20,35.53950867,139.69020567,1,09,1.31,5,12
123702.40,35.53951317,139.69020183,1,09,1.31,5,12
123702.60,35.53951583,139.69019517,1,08,1.73,5,12
123702.80,35.53952017,139.69019067,1,08,1.73,5,12
123703.00,35.5395245,139.69018583,1,08,1.73,5,12
123703.20,35.5395305,139.69018133,1,09,1.31,5,12
123703.40,35.53953483,139.69017717,1,09,1.31,5,12
123703.60,35.53953967,139.6901725,1,09,1.31,5,12
123703.80,35.539544,139.69016767,1,09,1.31,5,12
123704.00,35.53954867,139.69016317,1,09,1.31,5,12
123704.20,35.53955317,139.6901585,1,09,1.31,5,12
123704.40,35.539558,139.690154,1,09,1.31,5,12
123704.60,35.539562,139.69014967,1,09,1.31,5,12
123704.80,35.53956717,139.69014633,1,09,1.31,5,12
123705.00,35.53957333,139.69014483,1,09,1.31,5,12
123705.20,35.53957867,139.69014167,1,09,1.31,5,12
123705.40,35.539584,139.69013817,1,09,1.31,5,12
123705.60,35.53958917,139.69013517,1,09,1.31,5,12
123705.80,35.5395945,139.6901325,1,09,1.31,5,12
123706.00,35.53959883,139.690129,1,09,1.31,5,12
123706.20,35.53960533,139.6901255,1,09,1.31,5,12
123706.40,35.5396095,139.69012267,1,09,1.31,5,13
123706.60,35.53961733,139.6901205,1,09,1.31,5,13
123706.80,35.53962583,139.690117,1,09,1.32,5,13
123707.00,35.53963067,139.69011333,1,09,1.32,5,13
123707.20,35.53963567,139.69010967,1,09,1.32,5,13
123707.40,35.53964117,139.6901055,1,09,1.32,5,13
123707.60,35.5396465,139.69010167,1,09,1.32,5,13
123707.80,35.539652,139.690099,1,09,1.32,5,13
123708.00,35.53965717,139.69009633,1,09,1.32,5,13
123708.20,35.53966183,139.690092,1,09,1.32,5,13
123708.40,35.53966617,139.69008667,1,09,1.32,5,13
123708.60,35.5396695,139.69008383,1,09,1.32,5,13
123708.80,35.53967183,139.69008067,1,09,1.73,5,13
123709.00,35.53967583,139.6900775,1,09,1.73,5,13
123709.20,35.53968033,139.69007367,1,09,1.73,5,13
123709.40,35.53968583,139.69006967,1,09,1.73,5,13
123709.60,35.53968883,139.69006567,1,09,1.73,5,13
123709.80,35.53969333,139.69006267,1,09,1.73,5,13
123710.00,35.53969717,139.69006033,1,09,1.73,5,13
123710.20,35.53970167,139.690058,1,09,1.73,5,13
123710.40,35.53970667,139.690056,1,09,1.73,5,13
123710.60,35.53971267,139.69005433,1,09,1.73,5,13
123710.80,35.53971917,139.6900565,1,09,1.73,5,13
123711.00,35.53972517,139.69005583,1,09,1.73,5,13
123711.20,35.5397315,139.690056,1,09,1.73,5,13
123711.40,35.5397385,139.6900565,1,09,1.73,5,13
123711.60,35.53974433,139.6900565,1,09,1.73,5,13
123711.80,35.53975083,139.69005633,1,09,1.73,5,13
123712.00,35.539757,139.690057,1,09,1.73,5,13
123712.20,35.53976317,139.69005633,1,09,1.73,5,13
123712.40,35.53976933,139.69005583,1,09,1.73,5,13
123712.60,35.53977617,139.69005567,1,09,1.73,5,13
123712.80,35.53978233,139.69005567,1,09,1.73,5,13
123713.00,35.539788,139.69005567,1,09,1.73,5,13
123713.20,35.539794,139.69005567,1,09,1.73,5,13
123713.40,35.53979983,139.69005617,1,09,1.73,5,13
123713.60,35.539806,139.69005633,1,09,1.73,5,13
123713.80,35.53981167,139.69005517,1,09,1.73,5,13
123714.00,35.53981783,139.6900555,1,09,1.73,5,13
123714.20,35.5398235,139.690055,1,09,1.73,5,13
123714.40,35.53983033,139.69005617,1,09,1.73,5,13
123714.60,35.5398375,139.69005783,1,09,1.32,5,12
123714.80,35.539844,139.69005933,1,09,1.32,5,13
123715.00,35.53985183,139.690061,1,09,1.32,5,13
123715.20,35.53985817,139.69006183,1,09,1.32,5,13
123715.40,35.53986467,139.69006333,1,09,1.32,5,13
123715.60,35.539872,139.69006567,1,09,1.32,5,13
123715.80,35.53987917,139.6900685,1,09,1.32,5,13
123716.00,35.53988567,139.69006933,1,09,1.32,5,13
123716.20,35.53989183,139.6900705,1,09,1.32,5,13
123716.40,35.53989883,139.690072,1,09,1.32,5,13
123716.60,35.53990533,139.69007333,1,09,1.32,5,13
123716.80,35.53991183,139.69007433,1,09,1.32,5,13
123717.00,35.5399185,139.69007533,1,09,1.32,5,13
123717.20,35.53992483,139.690077,1,09,1.32,5,13
123717.40,35.5399315,139.6900775,1,09,1.32,5,13
123717.60,35.53993867,139.690079,1,09,1.32,5,13
123717.80,35.53994517,139.6900795,1,09,1.32,5,13
123718.00,35.539952,139.69008083,1,09,1.32,5,13
123718.20,35.53995883,139.69008167,1,09,1.32,5,13
123718.40,35.53996517,139.69008283,1,09,1.32,5,13
123718.60,35.53997117,139.69008333,1,09,1.32,5,13
123718.80,35.53997767,139.69008483,1,09,1.32,5,13
123719.00,35.53998467,139.69008667,1,09,1.32,5,13
123719.20,35.53999317,139.69009233,1,09,1.32,5,13
123719.40,35.54000083,139.69009767,1,09,1.32,5,13
123719.60,35.5400065,139.69009833,1,09,1.32,5,13
123719.80,35.54001283,139.690099,1,09,1.32,5,13
123720.00,35.54001967,139.69009967,1,09,1.32,5,13
123720.20,35.54002533,139.69010017,1,09,1.32,5,13
123720.40,35.54003167,139.69010033,1,09,1.32,5,13
123720.60,35.54003783,139.69010083,1,09,1.32,5,13
123720.80,35.540044,139.690101,1,09,1.32,5,13
123721.00,35.54005117,139.69010217,1,09,1.32,5,13
123721.20,35.54005733,139.6901035,1,09,1.32,5,13
123721.40,35.540064,139.690104,1,09,1.32,5,13
123721.60,35.5400705,139.690105,1,09,1.32,5,13
123721.80,35.54007717,139.69010567,1,09,1.32,5,13
123722.00,35.5400835,139.69010667,1,09,1.32,5,13
123722.20,35.54008967,139.69010667,1,09,1.32,5,13
123722.40,35.54009617,139.690108,1,09,1.32,5,13
123722.60,35.54010233,139.69010817,1,09,1.32,5,13
123722.80,35.540109,139.69010867,1,09,1.32,5,13
123723.00,35.54011483,139.6901095,1,09,1.32,5,13
123723.20,35.54012133,139.69011,1,09,1.32,5,13
123723.40,35.540127,139.69011017,1,09,1.32,5,12
123723.60,35.54013333,139.69011017,1,09,1.32,5,12
123723.80,35.54013917,139.69010983,1,09,1.32,5,12
123724.00,35.540143,139.69010717,1,09,1.32,5,12
123724.20,35.54014917,139.6901065,1,09,1.32,5,12
123724.40,35.540154,139.690106,1,09,1.32,5,12
123724.60,35.54016033,139.69010583,1,09,1.32,5,12
123724.80,35.54016633,139.69010617,1,09,1.70,5,12
123725.00,35.54017133,139.69010533,1,09,1.32,5,12
123725.20,35.5401765,139.690105,1,09,1.32,5,12
123725.40,35.54018267,139.690106,1,09,1.70,5,12
123725.60,35.54018783,139.690106,1,09,1.70,5,12
123725.80,35.5401935,139.69010617,1,09,1.70,5,12
123726.00,35.54019933,139.69010683,1,09,1.70,5,12
123726.20,35.54020567,139.69010683,1,08,1.70,5,12
123726.40,35.54021167,139.69010817,1,08,1.70,5,11
123726.60,35.54021783,139.69010867,1,08,1.70,5,11
123726.80,35.5402245,139.69010983,1,08,1.70,5,11
123727.00,35.54023233,139.69011267,1,08,1.70,5,11
123727.20,35.540239,139.69011367,1,08,1.70,5,11
123727.40,35.5402445,139.69011433,1,08,1.70,5,11
123727.60,35.5402515,139.69011583,1,09,1.32,5,12
123727.80,35.54025833,139.690118,1,09,1.32,5,12
123728.00,35.54026483,139.69011983,1,09,1.32,5,12
123728.20,35.5402705,139.69012083,1,08,1.70,5,12
